"Gene","Description","Phenotype","Treated_OldMP_1","Untreated_OneTX_1","Treated_OldMP_2","Untreated_OneTX_2","Treated_OldMP_3","Untreated_OneTX_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.11.9405","hypothetical protein, Tryp Specific","overrepresented",61.5253377311736,1.8101958692385,73.8591673556554,0.782371761544816,84.0295021266283,9.79708586876569,73.1380024044858,4.12988449984967,45.6564647427413,1.84837085223568e-07
"Tb927.11.9490","hypothetical protein, conserved","overrepresented",63.0868945263811,1.8101958692385,51.3177331626957,1.56474352308963,58.6392928509565,5.44282548264761,57.6813068466777,2.93925495832525,26.1402703528217,8.10342139938972e-10
"Tb927.2.2440","proteasome regulatory non-ATPase subunit 6 (RPN6)","overrepresented",39.0389198801863,1.8101958692385,38.8480036091434,5.47660233081371,51.9894761358996,7.61995567570665,43.2921332084098,4.96891795858629,11.8274618695073,2.2348318656486e-05
"Tb927.2.3340","hypothetical protein","overrepresented",166.149643010073,7.24078347695399,213.424217358874,33.6419857464271,187.40392560615,7.61995567570665,188.992595325032,16.1675749663626,17.9613935342693,0.000488574986533002
"Tb927.3.1240","protein phosphatase 2A, putative","overrepresented",111.182843818771,3.62039173847699,106.472306188023,0.782371761544816,85.2385597111842,5.44282548264761,100.964569905993,3.28186299422314,60.8200119990891,5.91079672212154e-14
"Tb927.3.2200","hypothetical protein, conserved","overrepresented",69.3331217072109,1.8101958692385,82.4920570465762,8.60608937699297,64.0800519814576,7.61995567570665,71.9684102450816,6.01208030731271,18.7654214933036,4.87854790451115e-09
"Tb927.3.3280","vacuolar protein sorting-associated protein 4, putative (VPS4)","overrepresented",50.28212880568,1.8101958692385,47.4808933000642,0.782371761544816,47.7577745899542,6.53139057917713,48.5069322318995,3.04131940332015,31.9258724031627,1.93876460649538e-07
"Tb927.3.4560","SNF1/AMP-activated kinase catalytic subunit, putative","overrepresented",48.7205720104725,1.8101958692385,61.3894378021032,10.9532046616274,68.9162823196808,7.61995567570665,59.6754307107522,6.79445206885752,13.854471917093,6.91158888080722e-05
"Tb927.3.5160","hypothetical protein, conserved","overrepresented",22.4864178509873,0.905097934619249,17.2657793818415,3.12948704617926,22.9720941065603,5.44282548264761,20.9080971131297,3.15913682114871,11.5273096385838,0.00210748389929099
"Tb927.3.5350","hypothetical protein, conserved","overrepresented",173.95742698611,0.905097934619249,154.432804470916,24.2535246078893,200.099030243986,13.0627811583543,176.163087233671,12.7404679002876,71.2943488846104,1.25952635220063e-05
