"Gene","Description","Phenotype","Treated_TwoTX_1","Untreated_OldMP_1","Treated_TwoTX_2","Untreated_OldMP_2","Treated_TwoTX_3","Untreated_OldMP_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.2.5210","3-oxoacyl-ACP reductase, putative","overrepresented",25765.9115456892,381.019858030618,12333.0812609367,402.388580593473,35638.7853155224,438.887903193757,24579.2593740495,407.432113939283,59.8252326441337,8.77676739958152e-44
"Tb927.3.1610","protein kinase, putative","overrepresented",2430.53356887548,87.7594918906589,1341.55170612019,58.9914128879586,2492.92407835212,94.3064915953527,2088.33645111593,80.35246545799,25.6237151699299,2.24388242097816e-33
"Tb927.3.2110","TFIIF-stimulated CTD phosphatase, putative","overrepresented",244.369190992894,24.3602860052363,259.11590585499,10.5513096222365,78.799324315728,12.6951046378359,194.094807054537,15.8689000884362,13.5987409677023,5.44157061719619e-06
"Tb927.3.2260","hypothetical protein, conserved","overrepresented",524.453879130904,94.0057190714887,855.361108575074,99.7578364284177,2593.21412748123,134.809920677972,1324.34303839574,109.524492059293,11.1298033642497,8.62567671593037e-08
"Tb927.3.3370","hypothetical protein, conserved","overrepresented",317.679948290762,51.8436856008874,626.893320616911,64.2670676990768,415.48734639202,61.661936812346,453.353538433231,59.2575633707701,7.54010082780249,2.433847486298e-10
"Tb927.3.4030","hypothetical protein, conserved","overrepresented",3906.14752987103,141.789357004837,1663.35694403687,127.095320449667,6368.41811969838,132.996334301138,3979.30753120209,133.960337251881,29.5068620064356,5.46885000125827e-22
"Tb927.3.4930","hypothetical protein, conserved","overrepresented",1428.61988580461,49.9698174466385,774.561525028894,51.3177331626957,2163.39963121362,86.44761729574,1455.52701401571,62.5783893016914,22.9028863354275,4.215348553137e-24
"Tb927.3.5190","hypothetical protein, conserved","overrepresented",2174.88579983676,149.284829621833,1290.0071442028,146.759124745653,1977.14668283099,141.459737393029,1814.01320895685,145.834563920172,12.4451354950432,5.69010198399709e-29
"Tb927.3.5250","Zinc finger CCCH domain-containing protein 8 (ZC3H8)","overrepresented",866.570746520956,9.68165213028621,1512.90254708881,12.4697295535522,4427.08931155636,18.740392560615,2268.85420172204,13.6305914148178,149.021660241057,2.46393095055428e-22
"Tb927.4.1740","hypothetical protein, conserved","overrepresented",817.696908322377,57.1529787045928,466.687249792589,57.5525979394718,343.851597014086,67.1026959428471,542.745251709684,60.6027575289705,9.18010105979425,8.97084875087255e-10
"Tb927.4.1910","hypothetical protein, conserved","overrepresented",3971.93923513835,48.408260651431,1405.63413444992,47.0012883172353,6253.80092069369,49.5713609667879,3877.12476342732,48.3269699784848,79.3715616805193,1.3172576443238e-30
"Tb927.4.410","CAF 40 (CAF40)","overrepresented",1969.99163200425,327.614615634524,1426.53057847048,347.713612550975,2915.57499968194,344.581411598404,2104.03240338556,339.969879927968,6.19231575142396,1.25655627329592e-08
"Tb927.4.4540","hypothetical protein, conserved","overrepresented",13002.3207238296,279.830977701176,6865.17840888919,261.864320624597,16218.3336591644,268.410783771388,12028.6109306277,270.035360699054,44.3683368308535,6.24600175052328e-44
"Tb927.4.4810","hypothetical protein, conserved","overrepresented",196589.37486476,111.807466536854,53953.2253648274,124.217690552693,444693.241413404,134.205391885694,231745.280547664,123.410182991747,1835.3854581564,1.8259453628283e-56
"Tb927.4.890","small nuclear ribonucleoprotein SmD3, putative (SmD3)","overrepresented",2896.71479476961,147.723272826625,1195.27659797624,138.126235054732,5673.55135073242,155.363899615421,3255.18091449276,147.071135832259,21.5934644934087,8.15101464464294e-17
"Tb927.5.2620","hypothetical protein, conserved","overrepresented",667.315867711365,23.4233519281118,174.137033504697,27.817089004078,759.338943406106,34.4581411598404,533.597281540723,28.5661940306767,18.9286588780377,3.75725055492712e-10
"Tb927.5.3450","hypothetical protein, conserved","overrepresented",9844.31887099836,28.1080223137341,3091.28061877539,34.5315587636831,21999.3386339637,25.9947380679498,11644.9793745792,29.5447730484557,428.683925762725,2.05736719235599e-35
"Tb927.5.4150","hypothetical protein, conserved","overrepresented",404.149046642094,17.801747465365,132.34414546357,16.3065694161837,902.610442161975,12.6951046378359,479.701211422547,15.6011405064615,33.9726232966469,6.87741437523199e-11
"Tb927.5.4370","hypothetical protein, conserved","overrepresented",1471.85443498028,31.5434472631905,656.1483422457,35.011163746512,3531.64244433217,42.921544251731,1886.54840718605,36.4920517538112,49.2278809577083,1.69604204540681e-18
"Tb927.6.1280","translation initiation factor EIF-2b alpha subunit, putative,eIF-2B GDP-GTP exchange factor","overrepresented",19355.9196896449,126.173789052762,9322.60022570748,126.615715466838,24628.3706361339,114.255941740523,17768.9635171621,122.348482086708,147.530103047914,6.57120338276649e-54
"Tb927.6.3980","hypothetical protein, conserved","overrepresented",603.403925451685,34.6665608536055,335.736200597057,41.725633506117,508.613820583335,44.7351306285647,482.584648877359,40.3757749960957,12.2738890150126,2.02434514631122e-19
"Tb927.7.2780","hypothetical protein, conserved","overrepresented",249993.441911746,340.419381355225,110262.176518906,328.529413237818,411676.324525114,339.745181260181,257310.647651922,336.231325284408,760.571107278037,1.09662876209251e-91
"Tb927.7.4050","hypothetical protein, conserved","overrepresented",862.81122050568,113.369023332061,1335.97932104804,103.594676291049,4212.18206342255,77.9842142038493,2136.99086832542,98.3159712756532,24.8400416502872,7.14116626295897e-09
"Tb927.7.5090","hypothetical protein, conserved","overrepresented",812.057619299464,56.8406673455513,530.769678122318,64.2670676990768,1361.07923818076,69.5208111119587,901.302178534179,63.5428487188623,14.0411281642721,6.62113891247751e-10
"Tb927.7.5360","hypothetical protein, conserved","overrepresented",526.333642138541,50.28212880568,487.583693813153,42.6848434717749,766.5025183439,29.0173820293393,593.473284765198,40.6614514355981,16.1019245152026,8.66669173009345e-24
"Tb927.7.5460","exosome-associated protein 3,3' exoribonuclease, putative (EAP3)","overrepresented",17748.7223181147,352.911835716884,7812.48387115475,290.161014611503,28066.8866062748,308.914212854008,17876.0309318481,317.329021060799,56.0244834802621,3.27828414148701e-30
"Tb927.7.6190","hypothetical protein, conserved","overrepresented",128103.969207498,379.458301235411,44799.1897875525,392.796480936895,181546.4796485,561.002719233893,118149.87954785,444.4191671354,258.419855860956,3.44980042744294e-51
"Tb927.7.6490","hypothetical protein, conserved","overrepresented",116.545306473534,20.3002383376969,101.696027566743,21.5822242273019,336.688022076292,16.9268061837812,184.976452038857,19.6030895829267,10.1146419841366,9.02084849329923e-06
"Tb927.7.710","heat shock 70 kDa protein, putative (HSP70)","overrepresented",3174.91971989999,162.401906701575,1834.70778500549,190.403178183086,2550.23267785447,168.663533045535,2519.95339425332,173.822872643398,14.7686385683232,4.48577968110673e-28
"Tb927.7.770","hypothetical protein, conserved","overrepresented",15263.6756220177,99.939634893277,4541.49383380251,108.870331102167,19828.7754278123,115.464999325079,13211.3149612108,108.091655106841,122.057802227294,3.95220185228709e-37
"Tb927.8.1930","hypothetical protein, conserved","overrepresented",253.768006031082,8.12009533507876,215.929921545825,15.8269644333547,315.197297262912,12.090575845558,261.631741613273,12.0125452046638,23.6548952201635,1.25524077655696e-23
"Tb927.8.2391","hypothetical protein, conserved","overrepresented",4291.49894643675,390.076887442822,2327.8638638908,405.266210490447,7965.89533082632,457.023766962094,4861.75271371796,417.455621631787,11.3918825349917,1.83711129891167e-12
"Tb927.8.3090","hypothetical protein, conserved","overrepresented",642.878948612076,64.0238286035056,256.329713318915,60.9098328192743,3467.17026989203,62.8709943969018,1455.45964394101,62.6015519398939,23.1323221539852,4.08744629775225e-07
"Tb927.8.3340","hypothetical protein, conserved","overrepresented",1934.27613485914,123.987609539472,1935.0107163042,111.268356016312,6848.37764053054,108.815182610022,3572.55483056463,114.690382721935,31.9756367610837,3.02411995012314e-17
