"Gene","Description","Phenotype","Treated_NewMP_1","Untreated_OneTX_1","Treated_NewMP_2","Untreated_OneTX_2","Treated_NewMP_3","Untreated_OneTX_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.6.830","hypothetical protein, conserved","overrepresented",22.7477642117721,0.905097934619249,23.5426044435295,3.91185880772408,39.4690673448276,5.44282548264761,28.5864786667097,3.41992740833031,12.8009245159326,0.000257179488188313
"Tb927.7.200","hypothetical protein, conserved","overrepresented",122.119576294776,2.71529380385775,104.932751234017,8.60608937699297,104.238818885058,9.79708586876569,110.43038213795,7.03948968320547,22.6024488456394,1.17735913312036e-13
"Tb927.7.3360","farnesyl pyrophosphate synthase (FPPS)","overrepresented",19.1560119678081,0.905097934619249,26.905833649748,0.782371761544816,22.264602091954,5.44282548264761,22.7754825698367,2.37676505960389,19.8817649099651,0.000692946056000788
"Tb927.7.3700","hypothetical protein, conserved","overrepresented",108.351192692914,2.71529380385775,108.295980440236,12.5179481847171,115.371119931035,13.0627811583543,110.672764354728,9.43200771564302,19.1291150935048,9.30579687312346e-09
"Tb927.7.4390","threonine synthase, putative","overrepresented",76.6240478712323,0.905097934619249,88.7892510441685,14.8650634693515,92.0944904712645,4.35426038611809,85.8359297955551,6.70814059669628,37.2605808988689,1.26918507757046e-05
"Tb927.7.4730","pumilio/PUF RNA binding protein 5","overrepresented",94.5828090910524,0.905097934619249,89.4618968854122,3.12948704617926,103.226791517241,6.53139057917713,95.7571658312354,3.52199185332521,49.6305207173497,2.57189540111221e-12
"Tb927.7.5390","hypothetical protein, conserved","overrepresented",36.5161478136341,0.905097934619249,42.3766879983532,3.91185880772408,43.517176816092,9.79708586876569,40.8033375426931,4.87134753703634,18.5398984775293,7.0038814481348e-05
"Tb927.7.5720","hypothetical protein, conserved","overrepresented",124.514077790752,24.4376442347197,131.165939042522,14.8650634693515,132.575585183908,7.61995567570665,129.418534005727,15.6408877932593,10.4391398909736,2.48941198966842e-05
"Tb927.8.1320","hypothetical protein, conserved","overrepresented",224.484515247751,46.1599946655817,189.01348138948,35.2067292695167,193.297227252874,9.79708586876569,202.265074630035,30.387936601288,9.98731064612198,0.00236949419882784
"Tb927.8.4330","small GTP-binding protein Rab11,Rab11A GTPase (RAB11)","overrepresented",169.410980840303,4.52548967309624,162.780293580976,1.56474352308963,143.707886229885,29.3912576062971,158.633053550388,11.8271636008277,48.7847776515532,0.000594481217816368
"Tb927.8.7170","inositol polyphosphate 1-phosphatase, putative","overrepresented",48.4886552935142,4.52548967309624,51.1210839345213,11.7355764231722,50.6013683908046,4.35426038611809,50.07036920628,6.87177549412886,8.89725333979875,6.74400312804957e-05
"Tb927.8.7190","hypothetical protein","overrepresented",115.534697180842,1.8101958692385,134.52916824874,7.04134585390334,154.840187275862,6.53139057917713,134.968017568482,5.12764410077299,35.5457000816031,8.33984586518754e-15
"Tb927.9.10150","hypothetical protein, conserved","overrepresented",88.5965553511123,0.905097934619249,80.7175009492441,14.8650634693515,108.286928356322,23.9484321236495,92.5336615522261,13.2395311758734,35.9459460855775,0.00226965483551618
"Tb927.9.10790","hypothetical protein","overrepresented",101.76631357898,2.71529380385775,109.641272122723,18.7769222770756,111.32301045977,4.35426038611809,107.576865387158,8.61549215568381,22.9615132920014,1.0279576712787e-05
"Tb927.9.11600","unspecified product (gim5B)","overrepresented",33.5230209436641,0.905097934619249,34.3049379034288,1.56474352308963,34.4089305057472,7.61995567570665,34.0789631176133,3.36326571113851,21.159106334565,0.000167315952929338
"Tb927.9.11700","hypothetical protein, conserved","overrepresented",47.8900299195202,1.8101958692385,56.5022506644709,3.12948704617926,50.6013683908046,5.44282548264761,51.6645496582652,3.46083613268846,17.9358022406789,3.80061617713046e-09
"Tb927.9.15870","hypothetical protein","overrepresented",61.0597881473882,3.62039173847699,52.4663756170087,3.91185880772408,80.9621894252874,8.70852077223617,64.8294510632281,5.41359043947908,13.1915157951107,1.8078756389501e-07
"Tb927.9.2130","hypothetical protein, conserved","overrepresented",108.949818066908,1.8101958692385,110.313917963967,7.04134585390334,113.347065195402,23.9484321236495,110.870267075426,10.9333246155971,26.862105352244,0.000100324271119347
