"Gene","Description","Phenotype","Treated_OneTX_1","Untreated_OldMP_1","Treated_OneTX_2","Untreated_OldMP_2","Treated_OneTX_3","Untreated_OldMP_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.7.5460","exosome-associated protein 3,3' exoribonuclease, putative (EAP3)","overrepresented",12567.2848221883,352.911835716884,5557.96899401437,290.161014611503,8020.54763122951,308.914212854008,8715.26714914405,317.329021060799,26.9095718622025,3.99425952721174e-20
"Tb927.7.6190","hypothetical protein, conserved","overrepresented",82986.6194293697,379.458301235411,36704.971192875,392.796480936895,59760.0466692777,561.002719233893,59817.2124305075,444.4191671354,139.555498317345,4.05605274699897e-39
"Tb927.7.710","heat shock 70 kDa protein, putative (HSP70)","overrepresented",1682.57706045718,162.401906701575,1352.72077571099,190.403178183086,2423.14590487471,168.663533045535,1819.48124701429,173.822872643398,10.6106088302843,1.95419576123628e-21
"Tb927.7.770","hypothetical protein, conserved","overrepresented",4792.49356380892,99.939634893277,2787.59058638418,108.870331102167,5782.45779276482,115.464999325079,4454.18064765264,108.091655106841,41.2127713806627,6.3259022764426e-22
"Tb927.8.1930","hypothetical protein, conserved","overrepresented",209.077622897046,8.12009533507876,248.011848409707,15.8269644333547,163.284764479428,12.090575845558,206.791411928727,12.0125452046638,18.307836700871,1.03421627889685e-20
"Tb927.8.2391","hypothetical protein, conserved","overrepresented",3859.33759321648,390.076887442822,2140.56913958662,405.266210490447,2388.31182178577,457.023766962094,2796.07285152962,417.455621631787,6.80048814381002,1.65712322664228e-07
"Tb927.8.3340","hypothetical protein, conserved","overrepresented",2761.45379852333,123.987609539472,1300.30186768748,111.268356016312,1386.83193297861,108.815182610022,1816.19586639647,114.690382721935,15.5676770686392,4.72949566624511e-11
"Tb927.8.3820","hypothetical protein, conserved","overrepresented",934.061068527065,18.7386815424894,750.294519321478,11.9901245707233,745.667091122722,10.8815182610022,810.007559657088,13.8701081247383,60.3162454662084,2.49021332172987e-31
"Tb927.8.4200","hypothetical protein, conserved","overrepresented",1013.70968677356,109.308975664522,590.690679966336,99.2782314455888,599.799368187766,113.651412948246,734.733244975887,107.412873352785,6.83372915281609,2.29846313498773e-10
"Tb927.8.7790","hypothetical protein, conserved","overrepresented",1187.48849022045,63.0868945263811,514.800619096489,73.8591673556554,559.522459616174,74.3570414501819,753.937189644372,70.4343677774062,11.1059664996187,2.23562020984482e-12
"Tb927.9.10850","hypothetical protein, conserved","overrepresented",1442.72610778308,175.518983781318,1403.5749402114,190.882783165915,1835.32075274877,195.86732869804,1560.54060024775,187.423031881758,8.31435632613766,2.9597650259691e-33
"Tb927.9.10930","hypothetical protein, conserved","overrepresented",15795.7691549751,272.023193725138,6363.02953664399,281.528124920583,15237.7342212202,244.83416087255,12465.5109709465,266.128493172757,47.635481676317,7.01859977832658e-17
"Tb927.9.15020","hypothetical protein, conserved","overrepresented",1754.0797972921,36.5404290078544,964.664381984758,48.919708248551,1690.54159491035,49.5713609667879,1469.76192472907,45.0104994077311,33.9421137151061,6.16626789039547e-19
"Tb927.9.4930","divalent cation transporter, putative","overrepresented",1163.95594392035,103.687371201775,891.90380816109,105.033491239536,1024.33975583428,100.351779518132,1026.73316930524,103.024213986481,9.97491066550664,2.49021332172987e-31
"Tb927.9.5220","conserved protein","overrepresented",6719.4470666133,275.458618674595,4605.04018845279,200.474882822493,5688.84119446328,285.942118747448,5671.10948317646,253.958540081512,22.4198033859878,1.00929829257378e-18
"Tb927.9.7080","hypothetical protein, conserved","overrepresented",2373.16678457167,70.8946785024184,1118.79161900909,75.7775872869712,1043.93392757181,72.5434550733482,1511.96411038419,73.0719069542459,20.8763843844246,1.71458359287899e-16
"Tb927.9.7200","hypothetical protein, conserved","overrepresented",9054.59973793096,237.044321512491,6179.17217268096,226.373551895256,5684.48693407716,265.992668602277,6972.75294822969,243.136847336675,28.9550371635326,1.28362003981244e-20
"Tb927.9.7820","hypothetical protein, conserved","overrepresented",1068.01556285071,14.3663225159086,352.849664456712,13.908544502039,704.3016174546,14.5086910146696,708.388948254009,14.2611860108724,49.4181045685502,1.71458359287899e-16
